RECID|PLU|BARCD|ADDID|ADDTIME|UPDID|UPDTIME
|10000019|18992702000015|BCN31105.CSV|31/10/2025 06:43:04||
|10000019|8992702000018|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000020|18993007001646|BCN31105.CSV|31/10/2025 06:43:04||
|10000020|8992702000063|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000021|18992702000022|BCN31105.CSV|31/10/2025 06:43:04||
|10000021|8992702000025|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000052|18999918457169|BCN31105.CSV|31/10/2025 06:43:04||
|10000052|8999918181685|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000060|8992903113203|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000069|8995858999953|BCN31105.CSV|31/10/2025 06:43:04||
|10000069|8995858999991|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000073|8998667000582|BCN31105.CSV|31/10/2025 06:43:04||
|10000073|8998667100206|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000073|8998667700109|BCN31105.CSV|31/10/2025 06:43:04||
|10000075|8998667000629|BCN31105.CSV|31/10/2025 06:43:04||
|10000075|8998667100084|TRF|26/06/2023 00:00:00|TRF|30/10/2025 00:00:00
|10000075|8998667700062|BCN31105.CSV|31/10/2025 06:43:04||
|10000077|18999908000221|BCN31105.CSV|31/10/2025 06:43:04||
|10000077|8999908000200|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000088|18992753016577|BCN31105.CSV|31/10/2025 06:43:04||
|10000088|18992753102201|BCN31105.CSV|31/10/2025 06:43:04||
|10000088|18992753102805|BCN31105.CSV|31/10/2025 06:43:04||
|10000088|8992753102204|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000090|8886022830243|BCN31105.CSV|31/10/2025 06:43:04||
|10000090|8886022930240|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000090|8999801310215|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000090|8999801310239|BCN31105.CSV|31/10/2025 06:43:04||
|10000097|8888115000144|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000097|8994472000038|TRF|13/02/2022 00:00:00|TRF|30/10/2025 00:00:00
|10000098|8993338001011|BCN31105.CSV|31/10/2025 06:43:04||
